Date,Open,Close,delta,% delta,mean,median,
1/4/2021,3764.610107,3700.649902,,,0.05%,0.07%,
1/5/2021,3698.02002,3726.860107,26.210,0.71%,,,
1/6/2021,3712.199951,3748.139893,21.280,0.57%,,,
1/7/2021,3764.709961,3803.790039,55.650,1.48%,,>2%,27
1/8/2021,3815.050049,3824.679932,20.890,0.55%,,<2%,30
1/11/2021,3803.139893,3799.610107,-25.070,-0.66%,,,
1/12/2021,3801.620117,3801.189941,1.580,0.04%,,>1.5,59
1/13/2021,3802.22998,3809.840088,8.650,0.23%,,<1.5,59
1/14/2021,3814.97998,3795.540039,-14.300,-0.38%,,,
1/15/2021,3788.72998,3768.25,-27.290,-0.72%,,,
1/19/2021,3781.879883,3798.909912,30.660,0.81%,,,
1/20/2021,3816.219971,3851.850098,52.940,1.39%,,,
1/21/2021,3857.459961,3853.070068,1.220,0.03%,,,
1/22/2021,3844.23999,3841.469971,-11.600,-0.30%,,,
1/25/2021,3851.679932,3855.360107,13.890,0.36%,,,
1/26/2021,3862.959961,3849.620117,-5.740,-0.15%,,,
1/27/2021,3836.830078,3750.77002,-98.850,-2.57%,,,
1/28/2021,3755.75,3787.379883,36.610,0.98%,,,
1/29/2021,3778.050049,3714.23999,-73.140,-1.93%,,,
2/1/2021,3731.169922,3773.860107,59.620,1.61%,,,
2/2/2021,3791.840088,3826.310059,52.450,1.39%,,,
2/3/2021,3840.27002,3830.169922,3.860,0.10%,,,
2/4/2021,3836.659912,3871.73999,41.570,1.09%,,,
2/5/2021,3878.300049,3886.830078,15.090,0.39%,,,
2/8/2021,3892.590088,3915.590088,28.760,0.74%,,,
2/9/2021,3910.48999,3911.22998,-4.360,-0.11%,,,
2/10/2021,3920.780029,3909.879883,-1.350,-0.03%,,,
2/11/2021,3916.399902,3916.379883,6.500,0.17%,,,
2/12/2021,3911.649902,3934.830078,18.450,0.47%,,,
2/16/2021,3939.610107,3932.590088,-2.240,-0.06%,,,
2/17/2021,3918.5,3931.330078,-1.260,-0.03%,,,
2/18/2021,3915.860107,3913.969971,-17.360,-0.44%,,,
2/19/2021,3921.159912,3906.709961,-7.260,-0.19%,,,
2/22/2021,3885.550049,3876.5,-30.210,-0.77%,,,
2/23/2021,3857.070068,3881.370117,4.870,0.13%,,,
2/24/2021,3873.709961,3925.429932,44.060,1.14%,,,
2/25/2021,3915.800049,3829.340088,-96.090,-2.45%,,,
2/26/2021,3839.659912,3811.149902,-18.190,-0.48%,,,
3/1/2021,3842.51001,3901.820068,90.670,2.38%,,,
3/2/2021,3903.639893,3870.290039,-31.530,-0.81%,,,
3/3/2021,3863.98999,3819.719971,-50.570,-1.31%,,,
3/4/2021,3818.530029,3768.469971,-51.250,-1.34%,,,
3/5/2021,3793.580078,3841.939941,73.470,1.95%,,,
3/8/2021,3844.389893,3821.350098,-20.590,-0.54%,,,
3/9/2021,3851.929932,3875.439941,54.090,1.42%,,,
3/10/2021,3891.98999,3898.810059,23.370,0.60%,,,
3/11/2021,3915.540039,3939.340088,40.530,1.04%,,,
3/12/2021,3924.52002,3943.340088,4.000,0.10%,,,
3/15/2021,3942.959961,3968.939941,25.600,0.65%,,,
3/16/2021,3973.590088,3962.709961,-6.230,-0.16%,,,
3/17/2021,3949.570068,3974.120117,11.410,0.29%,,,
3/18/2021,3953.5,3915.459961,-58.660,-1.48%,,,
